District,Tahesil,Village,Reg. No.,Reg. Date,Death Date,Gender,Age,Death Place,Region,Occupation,The cause of death has been medically confirmed Y/N,MONTH/YEAR
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,1,04/01/2019,01/01/2019,F,88 Year,House,Hindu,Nonworkers,N,1-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,2,04/01/2019,20/12/2018,F,116 Year,House,Hindu,Nonworkers,N,1-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,3,15/01/2019,14/01/2019,F,70 Year,House,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",N,1-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,4,14/01/2019,12/01/2019,M,82 Year,House,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",N,1-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,5,29/01/2019,29/01/2019,M,105 Year,House,Hindu,Nonworkers,N,1-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,6,31/01/2019,23/01/2019,F,45 Year,House,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",N,1-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,7,25/01/2019,08/01/2019,F,51 Year,House,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",N,1-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,8,31/01/2019,25/01/2019,F,65 Year,House,Muslim,Nonworkers,N,1-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,9,31/01/2019,31/01/2019,M,70 Year,House,Hindu,Worker s whose occupat ion are not elsewh ere classifie d,N,1-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,10,11/02/2019,09/02/2019,M,70 Year,C.H.C.VAL LABHIPUR,Hindu,Nonworkers,Y,2-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,11,11/02/2019,01/02/2019,M,101 Year,House,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",N,2-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,12,11/02/2019,27/01/2019,M,74 Year,C.H.C.VAL LABHIPUR,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",N,2-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,13,11/02/2019,11/02/2019,F,55 Year,House,Muslim,Nonworkers,Y,2-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,14,14/02/2019,14/02/2019,F,78 Year,House,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",N,2-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,15,16/02/2019,15/02/2019,M,52 Year,C.H.C.VAL LABHIPUR,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",Y,2-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,16,16/02/2019,14/02/2019,M,80 Year,House,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",N,2-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,17,28/02/2019,28/02/2019,M,45 Year,House,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",N,2-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,18,11/03/2019,10/03/2019,M,74 Year,C.H.C.VAL LABHIPUR,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",Y,3-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,19,13/03/2019,09/03/2019,M,74 Year,House,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",N,3-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,20,13/03/2019,26/02/2019,M,53 Year,House,Hindu,Nonworkers,N,3-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,21,13/03/2019,10/03/2019,M,67 Year,House,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",N,3-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,22,13/03/2019,04/03/2019,M,48 Year,House,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",N,3-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,23,13/03/2019,09/03/2019,F,42 Year,House,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",N,3-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,24,13/03/2019,18/02/2019,M,75 Year,C.H.C.VAL LABHIPUR,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",Y,3-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,25,01/03/2019,12/02/2019,F,17 Year,C.H.C.VAL LABHIPUR,Hindu,Not- Stated,Y,3-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,26,05/03/2019,03/03/2019,M,18 Year,C.H.C.VAL LABHIPUR,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",Y,3-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,27,11/03/2019,06/03/2019,F,22 Year,C.H.C.VAL LABHIPUR,Hindu,Not- Stated,Y,3-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,28,22/03/2019,13/03/2019,M,54 Year,C.H.C.VAL LABHIPUR,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",Y,3-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,29,28/03/2019,19/03/2019,M,56 Year,C.H.C.VAL LABHIPUR,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",Y,3-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,30,28/03/2019,28/03/2019,M,80 Year,House,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",N,3-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,31,04/04/2019,03/04/2019,F,70 Year,House,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",N,4-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,32,04/04/2019,30/03/2019,M,25 Year,C.H.C.VAL LABHIPUR,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",Y,4-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,33,04/04/2019,23/03/2019,M,85 Year,House,Hindu,"Farmer s, Fisherm en, Hunters » Loggers etc. and Related workers",N,4-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,34,06/04/2019,05/04/2019,M,55 Year,C.H.C.VAL LABHIPUR,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",Y,4-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,35,06/04/2019,03/04/2019,M,70 Year,House,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",N,4-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,36,06/04/2019,31/03/2019,M,35 Year,C.H.C.VAL LABHIPUR,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",N,4-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,37,06/04/2019,23/03/2019,F,57 Year,House,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",N,4-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,38,20/04/2019,19/04/2019,M,56 Year,House,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",N,4-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,39,22/04/2019,20/04/2019,M,70 Year,House,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",N,4-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,40,20/04/2019,12/04/2019,M,50 Year,C.H.C.VAL LABHIPUR,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",Y,4-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,41,29/04/2019,28/04/2019,M,45 Year,C.H.C.VAL LABHIPUR,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",Y,4-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,42,28/04/2019,23/04/2019,F,80 Year,House,Hindu,"Farmer s, Fisherm en, Hunters",N,4-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,43,04/05/2019,03/05/2019,F,55 Year,House,Hindu,Nonworkers,N,5-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,44,06/05/2019,04/05/2019,M,40 Year,C.H.C.VAL LABHIPUR,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",Y,5-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,45,09/05/2019,05/05/2019,M,75 Year,House,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",N,5-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,46,09/05/2019,08/05/2019,M,75 Year,House,Hindu,"Farmer s, Fisherm en, Hunters Loggers etc. and Related workers",N,5-2019
BHAVNAGAR,VALLABHIPUR,VALLABHIPUR,47,03/06/2019,01/06/2019,M,89 Year,House,Hindu,Nonworkers,N,6-2019
